Date,Volume,Open,High,Low,Close,Median
2021-08-31 21:00:00,32143,4531.46,4542.86,4522.36,4525.66,4532.61
2021-09-01 21:00:00,32012,4525.66,4546.12,4518.38,4538.88,4532.25
2021-09-02 21:00:00,40837,4538.88,4551.42,4521.71,4535.83,4536.565
2021-09-05 21:00:00,15085,4535.83,4550.14,4525.99,4546.66,4538.065
2021-09-06 21:00:00,31750,4546.66,4547.23,4513.085,4519.92,4530.1575
2021-09-07 21:00:00,51564,4519.92,4526.44,4494.0,4513.22,4510.22
2021-09-08 21:00:00,48601,4513.22,4530.28,4487.25,4492.45,4508.765
2021-09-09 21:00:00,55786,4492.45,4519.46,4458.06,4464.84,4488.76
2021-09-12 21:00:00,87887,4464.84,4494.11,4446.12,4477.37,4470.115
2021-09-13 21:00:00,108254,4477.37,4489.48,4435.65,4447.22,4462.565
2021-09-14 21:00:00,91827,4447.22,4487.52,4437.99,4486.52,4462.755
2021-09-15 21:00:00,100959,4486.52,4487.66,4443.36,4470.5,4465.51
2021-09-16 21:00:00,64528,4470.5,4486.03,4420.07,4422.31,4453.05
2021-09-19 21:00:00,110689,4422.31,4431.44,4307.635,4356.9,4369.5375
2021-09-20 21:00:00,99570,4356.9,4409.085,4343.14,4350.0,4376.1125
2021-09-21 21:00:00,90584,4350.0,4419.77,4334.69,4399.91,4377.23
2021-09-22 21:00:00,61072,4399.91,4468.27,4399.19,4452.41,4433.73
2021-09-23 21:00:00,64054,4452.41,4466.05,4424.04,4459.34,4445.045
2021-09-26 21:00:00,63933,4459.34,4484.99,4438.74,4442.38,4461.865
2021-09-27 21:00:00,116050,4442.38,4455.05,4348.37,4359.66,4401.71
2021-09-28 21:00:00,102578,4359.66,4391.49,4357.44,4369.52,4374.465
2021-09-29 21:00:00,113268,4369.52,4401.07,4307.82,4310.69,4354.445
2021-09-30 21:00:00,126264,4310.69,4377.87,4272.5,4361.04,4325.185
2021-10-03 21:00:00,135977,4361.04,4374.01,4279.74,4306.23,4326.875
2021-10-04 21:00:00,91863,4306.23,4371.185,4281.12,4347.68,4326.1525
2021-10-05 21:00:00,134672,4347.68,4369.19,4285.61,4367.16,4327.4
2021-10-06 21:00:00,70064,4367.16,4432.0,4365.89,4401.11,4398.945
2021-10-07 21:00:00,88657,4401.11,4418.46,4386.96,4390.75,4402.71
2021-10-10 21:00:00,87060,4390.75,4417.96,4354.95,4358.08,4386.455
2021-10-11 21:00:00,106312,4358.08,4375.71,4328.21,4339.47,4351.96
2021-10-12 21:00:00,89022,4339.47,4375.25,4329.73,4365.96,4352.49
2021-10-13 21:00:00,55071,4365.96,4447.34,4364.39,4445.57,4405.865
2021-10-14 21:00:00,56264,4445.57,4477.34,4436.6,4475.32,4456.97
2021-10-17 21:00:00,58677,4475.32,4489.88,4446.61,4485.9,4468.245
2021-10-18 21:00:00,46530,4485.9,4527.47,4482.27,4525.38,4504.87
2021-10-19 21:00:00,46085,4525.38,4542.05,4514.27,4534.94,4528.16
2021-10-20 21:00:00,49023,4534.94,4552.72,4520.15,4541.53,4536.435
2021-10-21 21:00:00,65088,4541.53,4561.27,4525.25,4539.69,4543.26
2021-10-24 21:00:00,51904,4539.69,4575.89,4532.48,4575.06,4554.185
2021-10-25 21:00:00,54864,4575.06,4599.53,4570.74,4572.88,4585.135
2021-10-26 21:00:00,64381,4572.88,4585.98,4553.78,4557.43,4569.88
2021-10-27 21:00:00,61295,4557.43,4599.44,4555.06,4588.29,4577.25
2021-10-28 21:00:00,62642,4588.29,4611.62,4568.44,4609.51,4590.03
2021-10-31 21:00:00,47162,4609.51,4628.54,4595.78,4614.67,4612.16
2021-11-01 21:00:00,37795,4614.67,4635.84,4602.48,4630.65,4619.16
2021-11-02 21:00:00,40004,4630.65,4665.7,4622.08,4660.83,4643.89
2021-11-03 21:00:00,40785,4660.83,4685.4,4660.03,4682.11,4672.715
2021-11-04 21:00:00,51090,4682.11,4719.75,4675.93,4693.04,4697.84
2021-11-07 22:00:00,49243,4693.04,4715.3,4684.91,4700.11,4700.105
2021-11-08 22:00:00,69909,4700.11,4708.1,4671.58,4683.09,4689.84
2021-11-09 22:00:00,73414,4683.09,4687.12,4632.14,4651.41,4659.63
2021-11-10 22:00:00,44860,4651.41,4668.24,4645.1,4653.39,4656.67
2021-11-11 22:00:00,40644,4653.39,4691.77,4650.41,4690.5,4671.09
2021-11-14 22:00:00,44021,4690.5,4703.81,4673.73,4687.65,4688.77
2021-11-15 22:00:00,40632,4687.65,4715.67,4677.01,4702.45,4696.34
2021-11-16 22:00:00,38337,4702.45,4705.95,4684.7,4690.54,4695.325
2021-11-17 22:00:00,46006,4690.54,4711.12,4673.35,4709.78,4692.235
2021-11-18 22:00:00,64929,4709.78,4728.13,4689.23,4700.78,4708.68
2021-11-21 22:00:00,60699,4700.78,4744.37,4678.59,4688.4,4711.48
2021-11-22 22:00:00,111055,4688.4,4699.82,4653.54,4689.08,4676.68
2021-11-23 22:00:00,86347,4689.08,4706.05,4660.55,4704.62,4683.3
2021-11-24 22:00:00,18364,4704.62,4720.885,4704.51,4709.78,4712.6975
2021-11-25 22:00:00,157715,4709.78,4712.25,4581.485,4583.695,4646.8675
2021-11-28 22:00:00,123651,4583.695,4673.27,4583.695,4659.55,4628.4825
2021-11-29 22:00:00,180587,4659.55,4670.43,4560.18,4588.73,4615.305
2021-11-30 22:00:00,149012,4588.73,4653.57,4500.67,4510.41,4577.12
2021-12-01 22:00:00,175779,4510.41,4595.88,4507.59,4587.54,4551.735
2021-12-02 22:00:00,185165,4587.54,4608.17,4494.16,4534.61,4551.165
2021-12-05 22:00:00,145720,4534.61,4613.45,4533.46,4597.09,4573.455
2021-12-06 22:00:00,73944,4597.09,4699.01,4589.29,4696.85,4644.15
2021-12-07 22:00:00,84519,4696.85,4713.79,4673.81,4699.54,4693.8
2021-12-08 22:00:00,79473,4699.54,4707.19,4663.65,4669.68,4685.42
2021-12-09 22:00:00,78891,4669.68,4713.74,4665.72,4712.48,4689.73
2021-12-12 22:00:00,93250,4712.48,4732.16,4666.325,4674.46,4699.2425
2021-12-13 22:00:00,159822,4674.46,4686.36,4607.07,4638.8,4646.715
2021-12-14 22:00:00,189869,4638.8,4715.28,4611.78,4711.91,4663.53
2021-12-15 22:00:00,194489,4711.91,4752.48,4651.67,4675.08,4702.075
2021-12-16 22:00:00,168090,4675.08,4681.61,4604.03,4633.53,4642.82
2021-12-19 22:00:00,194029,4633.53,4634.925,4534.19,4583.39,4584.5575
2021-12-20 22:00:00,100146,4583.39,4656.42,4579.56,4655.55,4617.99
2021-12-21 22:00:00,83200,4655.55,4703.33,4635.51,4702.52,4669.42
2021-12-22 22:00:00,67818,4702.52,4744.29,4697.68,4729.79,4720.985
2021-12-23 22:00:00,1,4729.79,4729.79,4729.79,4729.79,4729.79
2021-12-26 22:00:00,44261,4729.79,4797.04,4726.3,4795.15,4761.67
2021-12-27 22:00:00,61556,4795.15,4810.74,4783.59,4793.74,4797.165
2021-12-28 22:00:00,52352,4793.74,4808.11,4782.86,4796.61,4795.485
2021-12-29 22:00:00,43989,4796.61,4812.01,4779.89,4784.97,4795.95
2021-12-30 22:00:00,43450,4784.97,4790.46,4762.92,4785.6,4776.69
2022-01-02 22:00:00,74692,4785.6,4803.68,4759.91,4796.93,4781.795
2022-01-03 22:00:00,68019,4796.93,4820.65,4777.16,4796.19,4798.905
2022-01-04 22:00:00,89946,4796.19,4799.76,4701.21,4703.76,4750.485
2022-01-05 22:00:00,129779,4703.76,4727.15,4674.16,4705.17,4700.655
2022-01-06 22:00:00,95419,4705.17,4716.17,4664.74,4677.64,4690.455
2022-01-09 22:00:00,152131,4677.64,4692.2,4583.49,4673.02,4637.845
2022-01-10 22:00:00,128608,4673.02,4717.8,4638.03,4714.85,4677.915
2022-01-11 22:00:00,107855,4714.85,4751.28,4706.76,4730.6,4729.02
2022-01-12 22:00:00,94772,4730.6,4747.16,4653.69,4663.7,4700.425
2022-01-13 22:00:00,143081,4663.7,4676.79,4616.33,4673.79,4646.56
2022-01-16 22:00:00,41397,4673.79,4681.345,4648.69,4664.36,4665.0175
2022-01-17 22:00:00,158350,4664.36,4671.58,4570.09,4586.83,4620.835
2022-01-18 22:00:00,166318,4586.83,4612.54,4528.01,4534.42,4570.275
2022-01-19 22:00:00,155289,4534.42,4603.58,4447.28,4465.36,4525.43
2022-01-20 22:00:00,246378,4465.36,4495.99,4391.8,4394.14,4443.895
2022-01-23 22:00:00,424834,4394.14,4436.9,4222.43,4417.19,4329.665
2022-01-24 22:00:00,417662,4417.19,4417.19,4286.17,4315.43,4351.68
